"itemId","eligibleContent","interactionType","pointValue","reviewStatus","itemStatus","isCrossText","requiredEvidenceSlots","intendedAssemblyBucket","studentPreviewLeakFree"
"pssa_item_g3_moy_p3_mcq_bk112_t1","E03.B-K.1.1.2","MCQ","1","PENDING","candidate","false","","operational","PASS"
"pssa_item_g3_moy_p3_mcq_bk112_t2","E03.B-K.1.1.2","MCQ","1","PENDING","candidate","false","","operational","PASS"
"pssa_item_g3_moy_p3_mcq_bk113_t1","E03.B-K.1.1.3","MCQ","1","PENDING","candidate","false","","operational","PASS"
"pssa_item_g3_moy_p3_mcq_bc311_t1","E03.B-C.3.1.1","MCQ","1","PENDING","candidate","false","","operational","PASS"
"pssa_item_g3_moy_p3_mcq_bc312","E03.B-C.3.1.2","MCQ","1","PENDING","candidate","true","passage_1|passage_2","operational","PASS"
"pssa_item_g3_moy_p3_ebsr_bc312","E03.B-C.3.1.2","EBSR","2","PENDING","candidate","true","passage_1|passage_2","operational","PASS"
"pssa_item_g3_moy_p3_mcq_bv412_ao1","E03.B-V.4.1.2","MCQ","1","PENDING","candidate","false","","analytics_only","PASS"
"pssa_item_g3_moy_p3_mcq_bc211_ao3","E03.B-C.2.1.1","MCQ","1","PENDING","candidate","false","","analytics_only","PASS"
"pssa_item_g3_moy_p3_ebsr_bc311_ao4","E03.B-C.3.1.1","EBSR","2","PENDING","candidate","false","","analytics_only","PASS"
